9789977583648,Cuentos de Magón,Manuel González Zeledón,1999,Crónicas que versan sobre asuntos y actividades de la vida cotidiana e incorporan el habla popular o rural.
9789977239279,Mamita Yunai,Carlos Luis Fallas,1941,Narra las circunstancias más íntimas y desgarradoras de quienes debieron solventar sus necesidades humanas en el corazón de los bananales. 
9789977239156,El Moto,Joaquín García Monge,1900,"Narra la historia de José Blas, un joven campesino apodado el Moto, y su amor imposible con Cundila Guillén, la hija del potentado del pueblo donde vive."
9789930534106,La Isla de los Hombres Solos,José León Sánchez,1968,Novela basada en las vivencias del propio autor encarcelado en la Isla San Lucas.
9789930519837,Única Mirando al Mar,Fernando Contreras Castro,1993,"La depredación y la competencia por los escasos recursos del planeta han dado con un nuevo eslabón, insólito, en la cadena humana: la gente basura."
9789977239606,El sitio de las abras,Fabián Dobles Rodrìguez,2015,"Detrás de su trabajo de cada día, los poderosos acaparadores de tierras fueron tejiendo el drama a base de argucias leguleyas y connivencias políticas: bases del despojo de nuestros campesinos y de su desolación como clase."
9789977239453,El enojo de los dioses,Cary Sagot Salazar,2024,"El enojo de los dioses de Cary Sagot recoge diez cuentos juveniles que nos hacen pasar por la historia y por la geografía de nuestro país en un lúdico juego de aventuras, que deleitarán la lectura de niños, adolescentes y mayores."
9789968960328,El coyote y la luciérnaga,Yasmín Ross,2007,Érase una vez un coyote que se tragó un granito de luna.
9789968960359,El Mar Azucarado,Roberto Boccanera Ross,2005,"Un día, los peces, las medusas y los caracoles se cansaron de tener un mar salado e inventaron una forma de endulzar el mar."
9789968534079,¿Qué tiene el rey en la panza?,Dionisio Cabal Antillón,2011,"Miguelito, un pajarito tiene unos nuevos amigos. Ellos mediante adivinanzas, le presentan el mundo, los seres que viven en él, y cuál es la mejor forma de comunicarse con estos."
